pipeline,batch_size,mode,model_ms,explainer_ms,base_ms,fuzzyxai_ms,fuzzyxai_ms_per_object,relative_overhead,root_digest,normalize_ms,prediction_digest_ms,explanation_digest_ms,contract_check_ms,route_build_ms,cut_search_ms,proof_trace_ms,serialization_ms,repetition
tabular_shap,8,online,0.047871,0.24313,0.291001,0.19011,0.02376375,0.6532967240662403,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000421,0.04744,0.038613,0.000571,0.06906,7.1e-05,0.02127,0.0002,10
tabular_shap,8,online,0.049794,0.259281,0.309075,0.186974,0.02337175,0.6049470193318774,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000351,0.04755,0.038693,0.000581,0.069893,0.0001,0.016982,0.00013,11
tabular_shap,8,online,0.050596,0.243691,0.29428699999999997,0.184319,0.023039875,0.6263239626622992,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00036,0.046328,0.038743,0.000551,0.068741,7e-05,0.017282,0.000111,12
tabular_shap,8,online,0.046468,0.249593,0.296061,0.186062,0.02325775,0.6284583244669173,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00038,0.04755,0.038553,0.000572,0.069892,7e-05,0.017102,0.000141,13
tabular_shap,8,online,0.047379,0.243341,0.29072,0.184108,0.0230135,0.6332828838745185,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00038,0.046709,0.038843,0.000651,0.068741,8e-05,0.016942,0.00011,14
tabular_shap,8,online,0.046047,0.249683,0.29573,0.184269,0.023033625,0.623098772528996,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00039,0.04732,0.038663,0.000561,0.068289,8e-05,0.017373,0.000151,15
tabular_shap,8,online,0.047019,0.247568,0.294587,0.18489,0.02311125,0.6276244369235574,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000361,0.046929,0.038643,0.000531,0.06907,8.1e-05,0.017533,0.00014,16
tabular_shap,8,online,0.04734,0.250474,0.29781399999999997,0.18518,0.0231475,0.6217974977670627,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000381,0.046969,0.038553,0.000561,0.069451,8e-05,0.017273,0.00014,17
tabular_shap,8,online,0.04791,0.244293,0.292203,0.18536,0.02317,0.6343535145087491,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000341,0.047169,0.038954,0.000561,0.069562,8e-05,0.017092,0.00011,18
tabular_shap,8,online,0.046498,0.250925,0.297423,0.185982,0.02324775,0.6253114251419696,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000391,0.04754,0.038884,0.000531,0.06915,8.1e-05,0.017393,0.00013,19
tabular_shap,8,online,0.048071,0.242499,0.29057,0.184128,0.023016,0.6336786316550228,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00037,0.046558,0.038684,0.000581,0.069131,8e-05,0.017132,0.00011,20
tabular_shap,8,online,0.045746,0.250705,0.296451,0.187204,0.0234005,0.6314837865279591,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000351,0.04752,0.039104,0.000681,0.070183,9e-05,0.017313,0.00014,21
tabular_shap,8,online,0.048602,0.241196,0.289798,0.1848,0.0231,0.6376855602868204,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00044,0.046288,0.039234,0.000601,0.069031,7e-05,0.017153,0.00013,22
tabular_shap,8,online,0.045997,0.246266,0.292263,0.185531,0.023191375,0.6348083746488608,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000341,0.047339,0.038533,0.000571,0.069572,8e-05,0.017112,0.000171,23
tabular_shap,8,online,0.049063,0.242479,0.291542,0.184419,0.023052375,0.6325640902511473,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.0004,0.046869,0.038613,0.000581,0.069011,7e-05,0.017172,0.000131,24
tabular_shap,8,online,0.045817,0.247749,0.293566,0.192073,0.024009125,0.6542753588630836,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000501,0.048301,0.039164,0.000541,0.069091,8e-05,0.017203,0.00015,25
tabular_shap,8,online,0.048492,0.244363,0.292855,0.184759,0.023094875,0.6308890065049257,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.00037,0.047611,0.038803,0.000601,0.06859,8e-05,0.016962,0.00012,26
tabular_shap,8,online,0.046408,0.242208,0.288616,0.19024,0.02378,0.6591457161072152,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000381,0.052108,0.038964,0.000561,0.069291,7.1e-05,0.017172,0.00012,27
tabular_shap,8,online,0.048472,0.243781,0.292253,0.183648,0.022956,0.6283870482082305,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000451,0.046749,0.038773,0.000531,0.068419,0.000111,0.017022,0.00013,28
tabular_shap,8,online,0.046438,0.242829,0.289267,0.190441,0.023805125,0.6583571579198457,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000351,0.04759,0.044013,0.000551,0.069091,7e-05,0.016952,0.000121,29
tabular_shap,8,full,0.050506,0.247488,0.29799400000000004,0.194288,0.024286,0.6519862816029852,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000361,0.047099,0.038894,0.000621,0.069401,9e-05,0.016922,0.008737,0
tabular_shap,8,full,0.047008,0.249803,0.296811,0.193406,0.02417575,0.6516133162180647,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000331,0.047039,0.038723,0.000642,0.06873,7e-05,0.017152,0.008947,1
tabular_shap,8,full,0.054723,0.244974,0.299697,0.194027,0.024253375,0.6474105513235034,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000381,0.04739,0.038633,0.000651,0.069221,7e-05,0.017012,0.008677,2
tabular_shap,8,full,0.046709,0.242689,0.289398,0.193115,0.024139375,0.6672990138148848,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000351,0.046428,0.038803,0.000591,0.06835,8e-05,0.016942,0.009488,3
tabular_shap,8,full,0.05268,0.249692,0.302372,0.19518,0.0243975,0.6454962761102219,68b004b2dd20328a1ac8a8a8e1c0701557f0f30cb50ef576925b6615e7e7929a,0.000381,0.04773,0.038904,0.000611,0.069171,7e-05,0.017112,0.009178,4
